driverId,teamDeltaAvg,teamDeltaNormAvg,teamDeltaSum,teamDeltaNormSum,driverRef,avgWins,avgPoints,totalWins,totalPoints,avgWinsNorm,avgPointsNorm
834,0.0,0.0,0.0,0.0,rossi,0.0,0.0,0.0,0.0,0.0,0.0
851,0.0,0.0,0.0,0.0,aitken,0.0,0.0,0.0,0.0,0.0,0.0
850,4488.0,8197.089594846793,4488.0,8197.089594846793,pietro_fittipaldi,0.0,0.0,0.0,0.0,0.0,0.0
845,6379.0,11928.722016303907,12758.0,23857.444032607815,sirotkin,0.0,0.0,0.0,0.0,0.0,0.0
19,7620.0,12189.480190654987,7620.0,12189.480190654987,davidson,0.0,0.0,0.0,0.0,0.0,0.0
858,6591.5,12535.892038880744,26366.0,50143.568155522975,sargeant,0.0,0.0,0.0,0.0,0.0,0.0
819,10251.75,14187.026995310362,41007.0,56748.10798124145,pic,0.0,0.0,0.0,0.0,0.0,0.0
820,9122.75,16131.625453608072,36491.0,64526.50181443229,chilton,0.0,0.0,0.0,0.0,0.0,0.0
823,12356.333333333334,22091.439114343022,37069.0,66274.31734302906,garde,0.0,0.0,0.0,0.0,0.0,0.0
853,1280.0,60073.87528467826,2560.0,120147.75056935652,mazepin,0.0,0.0,0.0,0.0,0.0,0.0
816,44980.0,94076.38760057316,44980.0,94076.38760057316,ambrosio,0.0,0.0,0.0,0.0,0.0,0.0
557,249940.0,188645.35217220662,249940.0,188645.35217220662,arnold,0.0,0.0,0.0,0.0,0.0,0.0
69,102177.0,203095.0140081634,102177.0,203095.0140081634,badoer,0.0,0.0,0.0,0.0,0.0,0.0
562,299210.0,225406.33180782342,299210.0,225406.33180782342,turner,0.0,0.0,0.0,0.0,0.0,0.0
535,451770.0,340979.07798206684,451770.0,340979.07798206684,mcwithey,0.0,0.0,0.0,0.0,0.0,0.0
558,484530.0,360143.6025509522,484530.0,360143.6025509522,keller,0.0,0.0,0.0,0.0,0.0,0.0
517,483280.0,372574.65678232664,483280.0,372574.65678232664,amick,0.0,0.0,0.0,0.0,0.0,0.0
728,773320.0,553879.5634971794,773320.0,553879.5634971794,james,0.0,0.0,0.0,0.0,0.0,0.0
430,547400.0,574680.0625702078,547400.0,574680.0625702078,beaufort,0.0,0.0,0.0,0.0,0.0,0.0
27,,,0.0,0.0,albers,,,,,,
28,,,0.0,0.0,markus_winkelhock,,,,,,
29,,,0.0,0.0,yamamoto,,,,,,
34,,,0.0,0.0,ide,,,,,,
36,,,0.0,0.0,montagny,,,,,,
38,,,0.0,0.0,doornbos,,,,,,
39,,,0.0,0.0,karthikeyan,,,,,,
40,,,0.0,0.0,friesacher,,,,,,
